index_id,adm1_tr,adm1_en,adm0_tr,adm0_en,pcode,latitude,longitude,lowercase
1,ADANA,ADANA,TÜRKİYE,TURKEY,TUR001,36.9845144710,35.3336825300,Adana
3,ADIYAMAN,ADIYAMAN,TÜRKİYE,TURKEY,TUR002,37.7660091630,38.2767622160,Adıyaman
5,AFYONKARAHİSAR,AFYONKARAHISAR,TÜRKİYE,TURKEY,TUR003,38.7581182180,30.5368476420,Afyonkarahisar
7,AĞRI,AGRI,TÜRKİYE,TURKEY,TUR004,39.7194431440,43.0503619760,Ağrı
135,AKSARAY,AKSARAY,TÜRKİYE,TURKEY,TUR068,38.3713431610,34.0270978660,Aksaray
9,AMASYA,AMASYA,TÜRKİYE,TURKEY,TUR005,40.6510032900,35.8333750250,Amasya
11,ANKARA,ANKARA,TÜRKİYE,TURKEY,TUR006,39.9297942810,32.8529152480,Ankara
13,ANTALYA,ANTALYA,TÜRKİYE,TURKEY,TUR007,36.8890864700,30.7040093370,Antalya
149,ARDAHAN,ARDAHAN,TÜRKİYE,TURKEY,TUR075,41.1136564550,42.7013905030,Ardahan
15,ARTVİN,ARTVIN,TÜRKİYE,TURKEY,TUR008,41.1811197380,41.8208491440,Artvin
17,AYDIN,AYDIN,TÜRKİYE,TURKEY,TUR009,37.8487924370,27.8434311300,Aydın
19,BALIKESİR,BALIKESIR,TÜRKİYE,TURKEY,TUR010,39.6378224430,27.8739888010,Balıkesir
147,BARTIN,BARTIN,TÜRKİYE,TURKEY,TUR074,41.6336621070,32.3373946570,Bartın
143,BATMAN,BATMAN,TÜRKİYE,TURKEY,TUR072,37.8767616970,41.1144234650,Batman
137,BAYBURT,BAYBURT,TÜRKİYE,TURKEY,TUR069,40.2580971010,40.2250884920,Bayburt
21,BİLECİK,BILECIK,TÜRKİYE,TURKEY,TUR011,40.1439200030,29.9806349040,Bilecik
23,BİNGÖL,BINGOL,TÜRKİYE,TURKEY,TUR012,38.8847149820,40.4968527770,Bingöl
25,BİTLİS,BITLIS,TÜRKİYE,TURKEY,TUR013,38.4043546790,42.1076370690,Bitlis
27,BOLU,BOLU,TÜRKİYE,TURKEY,TUR014,40.7331824270,31.6029646390,Bolu
29,BURDUR,BURDUR,TÜRKİYE,TURKEY,TUR015,37.7204158850,30.2832369500,Burdur
31,BURSA,BURSA,TÜRKİYE,TURKEY,TUR016,40.1965007960,29.0589157860,Bursa
33,ÇANAKKALE,CANAKKALE,TÜRKİYE,TURKEY,TUR017,40.1464980650,26.4062936600,Çanakkale
35,ÇANKIRI,CANKIRI,TÜRKİYE,TURKEY,TUR018,40.5996634170,33.6163677050,Çankırı
37,ÇORUM,CORUM,TÜRKİYE,TURKEY,TUR019,40.5503913570,34.9549735760,Çorum
39,DENİZLİ,DENIZLI,TÜRKİYE,TURKEY,TUR020,37.7817547790,29.0860354600,Denizli
41,DİYARBAKIR,DIYARBAKIR,TÜRKİYE,TURKEY,TUR021,37.9136291010,40.2172125260,Diyarbakır
